Date Generated:  2023.06.08 02:20:52 PM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
cuba-supp.com,NXDOMAIN
encryption-support.com,NXDOMAIN
mail.supports24.net,NXDOMAIN
cuba_support@exploit.im,Not Blocked
193.23.244.244,PTR
144.172.83.13,PTR
216.45.55.30,PTR
94.103.9.79,PTR
149.255.35.131,PTR
217.79.43.148,PTR
192.137.101.46,PTR
154.35.175.225,PTR
222.252.53.33,PTR
92.222.172.39,PTR
159.203.70.39,PTR
23.227.198.246,PTR
92.222.172.172,PTR
171.25.193.9,PTR
31.184.192.44,PTR
10.13.102.1,PTR
185.153.199.169,PTR
37.120.247.39,PTR
10.13.102.58,PTR
192.137.100.96,PTR
37.44.253.21,
10.133.78.41,PTR
192.137.100.98,PTR
38.108.119.121,PTR
10.14.100.20,PTR
192.137.101.205,PTR
45.164.21.13,PTR
103.114.163.197,PTR
193.34.167.17,PTR
45.32.229.66,PTR
103.27.203.197,PTR
194.109.206.212,PTR
45.86.162.34,PTR
104.217.8.100,PTR
195.54.160.149,
45.91.83.176,PTR
107.189.10.143,PTR
199.58.81.140,PTR
64.52.169.174,PTR
108.170.31.115,PTR
204.13.164.118,PTR
64.235.39.82,PTR
128.31.0.34,PTR
209.76.253.84,PTR
79.141.169.220,PTR
128.31.0.39,PTR
212.192.241.230,
84.17.52.135,PTR
131.188.40.189,PTR
213.32.39.43,PTR
86.59.21.38,PTR
141.98.87.124,PTR
216.45.55.3,PTR
www.torproject.org,Blocked
tox.chat,Not Blocked
