Date Generated:  2023.06.08 02:21:33 PM
"Questions, comments, or complaints: contact threat-intel@vercara.com"

Query Name,UltraDDR Status
decrypt.support@privyonline.com,Not Blocked
fimaribahundqf@gmx.com,Not Blocked
main-office@data-highstream.com,Blocked
prepalkeinuc0u@gmx.com,Not Blocked
tpyrcne@onionmail.org,Not Blocked
102.130.112.157,PTR
172.106.112.46,PTR
176.97.76.163,PTR
192.160.102.164,PTR
194.87.82.7,
195.123.246.20,PTR
198.50.191.95,PTR
206.197.244.75,PTR
216.122.175.114,PTR
46.4.20.30,PTR
5.188.206.14,PTR
5.8.18.233,PTR
5.8.18.240,PTR
80.94.95.103,PTR
89.105.216.106,PTR
92.118.36.199,PTR
192.184.35.216,PTR
anydeskupdate.com,Blocked
anydeskupdates.com,Blocked
ber6vjyb.com,Blocked
netviewremote.com,Blocked
study.abroad.ge,Not Blocked
upd343.winserverupdates.com,Blocked
upd488.windowservicecemter.com,Blocked
updateservicecenter.com,Blocked
windowcsupdates.com,Blocked
windowservicecemter.com,Blocked
windowservicecentar.com,Blocked
windowservicecenter.com,Blocked
winserverupdates.com,Blocked
